111.61|1388
111.87|1391
112.14|1394
112.40|1397
112.67|1401
112.93|1404
113.19|1407
113.46|1410
113.72|1413
113.99|1417
114.25|1420
114.52|1423
114.78|1426
115.05|1429
115.31|1433
115.58|1436
115.84|1439
116.11|1442
116.37|1445
116.64|1449
116.90|1452
117.17|1455
117.43|1458
117.70|1462
117.96|1465
118.23|1468
118.49|1471
118.76|1474
119.02|1478
119.29|1481
119.55|1484
119.82|1487
120.08|1490
120.35|1494
120.62|1497
120.88|1500
121.15|1503
121.41|1506
121.68|1510
121.94|1513
122.21|1516
122.47|1519
122.74|1522
123.00|1526
123.27|1529
123.54|1532
123.80|1535
124.07|1538
124.33|1542
124.60|1545
124.86|1548
125.13|1551
125.39|1554
125.66|1558
125.93|1561
126.19|1564
126.46|1567
126.72|1570
126.99|1574
127.26|1577
127.52|1580
127.79|1583
128.05|1586
128.32|1590
128.58|1593
128.85|1596
129.12|1599
129.38|1602
129.65|1606
129.92|1609
130.18|1612
130.45|1615
130.71|1618
130.98|1622
131.25|1625
131.51|1628
131.78|1631
132.04|1634
132.31|1637
132.58|1641
132.84|1644
133.11|1647
133.38|1650
133.64|1653
133.91|1657
134.18|1660
134.44|1663
134.71|1666
134.97|1669
135.24|1673
135.51|1676
135.77|1679
136.04|1682
136.31|1685
136.57|1689
136.84|1692
137.11|1695
137.37|1698
137.64|1701
137.91|1705
138.17|1708
138.44|1711
138.71|1714
138.97|1717
139.24|1721
139.51|1724
139.78|1727
140.04|1730
140.31|1733
140.58|1737
140.84|1740
141.11|1743
141.38|1746
141.64|1749
141.91|1752
142.18|1756
142.45|1759
142.71|1762
142.98|1765
143.25|1768
143.51|1772
143.78|1775
144.05|1778
144.32|1781
144.58|1784
144.85|1788
145.12|1791
145.38|1794
145.65|1797
145.92|1800
146.19|1804
146.45|1807
146.72|1810
146.99|1813
147.26|1816
147.52|1819
147.79|1823
148.06|1826
148.33|1829
148.59|1832
148.86|1835
149.13|1839
149.40|1842
149.67|1845
149.93|1848
150.20|1851
150.47|1855
150.74|1858
151.00|1861
151.27|1864
151.54|1867
151.81|1870
152.08|1874
152.34|1877
152.61|1880
152.88|1883
153.15|1886
153.42|1890
153.68|1893
153.95|1896
154.22|1899
154.49|1902
154.76|1905
155.02|1909
155.29|1912
155.56|1915
155.83|1918
156.10|1921
156.36|1925
156.63|1928
156.90|1931
157.17|1934
157.44|1937
157.71|1941
157.97|1944
158.24|1947
158.51|1950
158.78|1953
159.05|1956
159.32|1960
159.59|1963
159.85|1966
160.12|1969
160.39|1972
160.66|1976
160.93|1979
161.20|1982
161.47|1985
161.73|1988
162.00|1991
162.27|1995
162.54|1998
162.81|2001
163.08|2004
163.35|2007
163.62|2011
163.88|2014
164.15|2017
164.42|2020
164.69|2023
164.96|2026
165.23|2030
165.50|2033
165.77|2036
166.04|2039
166.31|2042
166.57|2046
166.84|2049
167.11|2052
167.38|2055
167.65|2058
167.92|2061
168.19|2065
168.46|2068
168.73|2071
169.00|2074
169.27|2077
169.54|2080
169.81|2084
170.08|2087
170.34|2090
170.61|2093
170.88|2096
171.15|2100
171.42|2103
171.69|2106
171.96|2109
172.23|2112
172.50|2115
172.77|2119
173.04|2122
173.31|2125
173.58|2128
173.85|2131
174.12|2134
174.39|2138
174.66|2141
174.93|2144
175.20|2147
175.47|2150
175.74|2154
176.01|2157
176.28|2160
176.55|2163
176.82|2166
177.09|2169
177.36|2173
177.63|2176
177.90|2179
178.17|2182
178.44|2185
178.71|2188
178.98|2192
179.25|2195
179.52|2198
179.79|2201
180.06|2204
180.33|2207
180.60|2211
180.87|2214
181.14|2217
181.41|2220
181.68|2223
181.95|2227
182.22|2230
182.49|2233
182.76|2236
183.03|2239
183.30|2242
183.57|2246
183.84|2249
184.11|2252
184.39|2255
184.66|2258
184.93|2261
185.20|2265
185.47|2268
185.74|2271
186.01|2274
186.28|2277
186.55|2280
186.82|2284
187.09|2287
187.36|2290
187.63|2293
187.91|2296
188.18|2299
188.45|2303
188.72|2306
188.99|2309
189.26|2312
189.53|2315
189.80|2318
190.07|2322
190.34|2325
